Contract Date,Contract Instrument Type,Symbol,Last Trading Date,Strike Price,Option Type,Filler,Contract Regular Lot,Contract Issue Start Date,Contract Issue Maturity Date,Contract Exercise Start Date,Contract Exercise End Date,Contract Exercise Style,Filler,Contract Open Price,Contract High Price,Contract Low Price,Contract Close Price,Contract Settlement Price,Contract Underlying Price,Previous Close,Total Traded Quantity,Total Traded Value (in lakhs),Open Interest,Change in Open Interest,Filler,Filler
01-Oct-2019,FUTCUR,USDINR,29-Oct-2019,0.0000,,,1000,29-Oct-2018,29-Oct-2019,29-Oct-2019,29-Oct-2019, ,0,70.8975,71.3650,70.8975,71.2850,71.2975,71.0675,71.0675,1497911,1065859.4400,459049,-23140,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,69.0000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0350,0.0350,0.0225,0.0150,0.0225,71.0675,0.0375,470847,325031.7300,5188,-1,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,73.0000,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0475,0.0725,0.0425,0.0525,0.0800,71.0675,0.0600,291523,212951.9800,2948,260,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,69.5000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0625,0.0650,0.0400,0.0425,0.0450,71.0675,0.0675,274670,191057.0300,2148,46,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.0000,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0100,0.0150,0.0025,0.0025,0.0050,71.0675,0.0125,188888,132242.2500,84,39,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.5000,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0900,0.1425,0.0850,0.1150,0.1400,71.0675,0.1075,181741,131962.7900,8022,2077,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,70.0000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.1350,0.1350,0.0875,0.1000,0.0925,71.0675,0.1325,179763,126028.3300,12040,384,0,0
01-Oct-2019,FUTCUR,USDINR,27-Nov-2019,0.0000,,,1000,28-Nov-2018,27-Nov-2019,27-Nov-2019,27-Nov-2019, ,0,71.1850,71.5750,71.1600,71.5075,71.5075,71.0675,71.2925,110447,78883.4000,54826,11650,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,70.2500,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.1675,0.1675,0.1200,0.1450,0.1350,71.0675,0.1850,105658,74358.9100,5457,361,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,72.0000,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0075,0.0175,0.0050,0.0025,0.0175,71.0675,0.0175,72159,51959.7700,500,290,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,69.7500,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0575,0.0625,0.0550,0.0650,0.0575,71.0675,0.0900,41721,29124.8600,1552,0,0,0
01-Oct-2019,FUTCUR,USDINR,04-Oct-2019,0.0000,,,1000,28-Jun-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019, ,0,70.7800,71.1775,70.7575,71.0900,71.1050,71.0675,70.9075,31825,22596.4900,33319,17365,0,0
01-Oct-2019,FUTIRD,726GS2029,31-Oct-2019,0.0000,,,2000,26-Jul-2019,31-Oct-2019,31-Oct-2019,31-Oct-2019, ,0,103.8800,104.1300,103.5000,103.9075,104.0325,104.0322,103.7475,9225,19161.2700,58157,5243,0,0
01-Oct-2019,FUTIRD,717GS2028,28-Nov-2019,0.0000,,,2000,30-Aug-2019,28-Nov-2019,28-Nov-2019,28-Nov-2019, ,0,102.4962,102.4962,102.2175,102.2650,102.2650,102.5308,101.8500,7050,14434.5100,0,-4140,0,0
01-Oct-2019,FUTIRD,717GS2028,31-Oct-2019,0.0000,,,2000,26-Jul-2019,31-Oct-2019,31-Oct-2019,31-Oct-2019, ,0,101.9462,101.9925,101.9462,102.4075,102.4075,102.5308,101.9925,7050,14379.3400,0,-4140,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.0000,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.1575,0.2500,0.1500,0.2250,0.2450,71.0675,0.1925,19747,14251.7800,25726,-1000,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.2500,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0425,0.1525,0.0400,0.0975,0.1225,71.0675,0.0825,19382,13826.5400,4100,2588,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.0000,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0900,0.3025,0.0875,0.2125,0.2400,71.0675,0.1525,17920,12752.2700,31589,4052,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.7500,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.1425,0.1700,0.0375,0.0475,0.0450,71.0675,0.1400,16153,11441.2800,4510,-875,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.7500,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.1825,0.4650,0.1775,0.3875,0.4125,71.0675,0.2650,16035,11387.8100,19862,4548,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.5000,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.3400,0.6625,0.3300,0.6050,0.6175,71.0675,0.4425,15483,10987.1200,28261,12619,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.2500,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.4750,0.5200,0.2250,0.2575,0.2575,71.0675,0.4575,14033,10045.9300,13529,12693,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.5000,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0250,0.0750,0.0200,0.0350,0.0550,71.0675,0.0475,13843,9903.3900,19571,7850,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.5000,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0700,0.0700,0.0125,0.0150,0.0175,71.0675,0.0625,11724,8269.5900,4232,-1840,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.7500,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0150,0.0400,0.0100,0.0100,0.0300,71.0675,0.0275,10685,7668.9500,5866,-5008,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.0000,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.3075,0.3200,0.1075,0.1225,0.1225,71.0675,0.2750,8643,6153.7400,41384,1668,0,0
01-Oct-2019,FUTIRD,726GS2029,28-Nov-2019,0.0000,,,2000,30-Aug-2019,28-Nov-2019,28-Nov-2019,28-Nov-2019, ,0,104.2750,104.2750,104.1800,103.7650,103.7650,104.0322,103.5500,2485,5180.1100,860,-765,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,71.5000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.8000,0.8025,0.5800,0.6175,0.6050,71.0675,0.7575,5204,3758.3500,4649,1247,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.2500,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0275,0.0300,0.0075,0.0025,0.0075,71.0675,0.0300,5043,3544.0800,4028,439,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,71.0000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.4925,0.4925,0.3325,0.3725,0.3500,71.0675,0.4625,4747,3388.3400,17240,355,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,70.5000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.2700,0.2700,0.1725,0.2025,0.1850,71.0675,0.2550,4055,2866.4400,5822,688,0,0
01-Oct-2019,FUTIRD,668GS2031,28-Nov-2019,0.0000,,,2000,30-Aug-2019,28-Nov-2019,28-Nov-2019,28-Nov-2019, ,0,98.0300,98.0300,98.0300,98.5700,98.5675,98.7998,97.7200,1235,2421.3400,1235,1235,0,0
01-Oct-2019,FUTIRD,668GS2031,31-Oct-2019,0.0000,,,2000,26-Jul-2019,31-Oct-2019,31-Oct-2019,31-Oct-2019, ,0,97.5375,97.5375,97.5375,98.6925,98.6925,98.7998,97.8475,1235,2409.1800,1295,1235,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,70.7500,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.5825,0.8250,0.5800,0.8100,0.8025,71.0675,0.6600,2822,2016.1600,4386,2711,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,71.7500,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.2075,0.3150,0.2000,0.3050,0.3225,71.0675,0.2450,2621,1886.2300,4199,-353,0,0
