Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-October-2019,2911.00,2976.05,2891.45,2910.10,2929.090989328412099815,24926,2458,73010522.00,3176,12.74,84.60,-0.90
30-September-2019,2959.00,2975.60,2903.00,2941.90,2935.024444650989868946,10759,1069,31577928.00,2614,24.30,72.60,-17.10
27-September-2019,2968.95,2989.40,2937.15,2956.00,2955.524105186267348429,8214,786,24276675.00,1444,17.58,52.25,-12.95
26-September-2019,2950.00,2990.80,2935.75,2969.70,2967.196696212731668009,12410,1175,36822911.00,1753,14.13,55.05,19.70
25-September-2019,2943.85,2964.55,2912.00,2943.20,2937.616647062118411471,17853,1466,52445270.00,3632,20.34,52.55,-0.65
24-September-2019,3000.00,3005.00,2930.00,2956.85,2956.929478413752686071,81904,2538,242184352.00,60134,73.42,75.00,-43.15
23-September-2019,2963.10,3026.30,2932.55,2996.00,2986.273053639307334928,56824,3743,169691980.00,11014,19.38,93.75,32.90
20-September-2019,2733.60,3012.35,2724.65,2928.10,2911.749187916652518873,88353,6745,257261776.00,11886,13.45,287.70,194.50
19-September-2019,2789.00,2789.00,2722.85,2738.50,2746.321627647714604236,7176,715,19707604.00,924,12.88,66.15,-50.50
18-September-2019,2777.00,2818.55,2752.20,2778.70,2778.494925765833489945,21284,1688,59137486.00,1925,9.04,66.35,1.70
17-September-2019,2874.10,2875.65,2764.20,2773.45,2812.072750642673521850,11670,1083,32816889.00,1676,14.36,111.45,-100.65
16-September-2019,2877.90,2887.00,2850.10,2874.10,2869.724982406755805770,14210,1049,40778792.00,2497,17.57,36.90,-3.80
13-September-2019,2925.40,2925.40,2850.25,2877.90,2873.528003829583532790,14623,1201,42019600.00,3033,20.74,75.15,-47.50
12-September-2019,2910.00,2911.00,2847.60,2851.95,2873.475454099165439371,12222,969,35119617.00,1901,15.55,63.40,-58.05
11-September-2019,2820.00,2918.95,2816.50,2908.45,2883.039441511848449532,43761,2584,126164689.00,7673,17.53,102.45,88.45
9-September-2019,2810.00,2838.00,2797.40,2818.55,2817.465449082858950031,25296,1760,71270606.00,3883,15.35,40.60,8.55
6-September-2019,2770.00,2861.50,2750.00,2839.80,2824.945064308029374771,24647,1816,69626421.00,4529,18.38,111.50,69.80
5-September-2019,2733.00,2776.90,2732.95,2759.65,2757.499949939927913496,19976,1632,55083819.00,2906,14.55,43.95,26.65
4-September-2019,2778.00,2783.60,2690.15,2715.55,2741.463533701917421479,34004,1536,93220726.00,6293,18.51,93.45,-62.45
3-September-2019,2785.00,2802.10,2758.70,2762.60,2780.911684125705076551,12410,1499,34511114.00,1447,11.66,43.40,-22.40
30-August-2019,2769.15,2796.35,2727.25,2788.10,2762.305860262871825279,10119,1392,27951773.00,1610,15.91,69.10,18.95
29-August-2019,2783.00,2786.25,2740.05,2757.45,2764.877677296525464064,10505,941,29045040.00,2281,21.71,46.20,-25.55
28-August-2019,2740.00,2814.45,2740.00,2764.55,2788.465014409221902017,17350,1611,48379868.00,3447,19.87,74.45,24.55
