CONTRACT TYPE,SYMBOL,EXPIRY,STRIKE,OPTION TYPE,OPEN,HIGH,LOW,CLOSE,L T DATE,WT. AVG. PRICE,PREM/DISC,PREM/DISC(%),CONTRACTS_TRADED,TURNOVER (RS.LAKHS),OPEN INTEREST,CHANGE IN OI,% CHANGE IN OI,COST OF CARRY % P.A.,MARGIN %,MARGIN VALUE,IS_TRADED
FUTCUR,USDINR,04 Oct 2019,,,70.7800,71.1775,70.7575,71.0900,04 Oct 2019,-,-,-,31825,22596.49,33319,17365,108.84,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,72.2500,CALL,0.0075,0.0075,0.0075,0.0025,04 Oct 2019,-,-,-,1,0.72,1,1,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.7500,CALL,0.0150,0.0400,0.0100,0.0100,04 Oct 2019,-,-,-,10685,7668.95,5866,-5008,-46.05,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.7500,CALL,0.1825,0.4650,0.1775,0.3875,04 Oct 2019,-,-,-,16035,11387.81,19862,4548,29.70,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.2500,PUT,0.4750,0.5200,0.2250,0.2575,04 Oct 2019,-,-,-,14033,10045.93,13529,12693,1518.30,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.0000,CALL,0.9500,0.9500,0.9500,1.0900,04 Oct 2019,-,-,-,4,2.84,42,0,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.2500,PUT,0.0275,0.0300,0.0075,0.0025,04 Oct 2019,-,-,-,5043,3544.08,4028,439,12.23,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.5000,PUT,0.0700,0.0700,0.0125,0.0150,04 Oct 2019,-,-,-,11724,8269.59,4232,-1840,-30.30,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.0000,CALL,0.0900,0.3025,0.0875,0.2125,04 Oct 2019,-,-,-,17920,12752.27,31589,4052,14.71,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.5000,PUT,0.7200,0.7525,0.4225,0.4450,04 Oct 2019,-,-,-,1112,801.06,1253,547,77.48,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,72.0000,CALL,0.0075,0.0175,0.0050,0.0025,04 Oct 2019,-,-,-,72159,51959.77,500,290,138.10,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,69.5000,PUT,0.0000,0.0000,0.0000,0.0025,04 Oct 2019,-,-,-,0,0.00,55,0,0.00,-,-,-,N
OPTCUR,USDINR,04 Oct 2019,70.2500,CALL,0.5775,0.6800,0.5775,0.8425,04 Oct 2019,-,-,-,29,20.56,100,15,17.65,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.7500,PUT,0.6650,0.6800,0.6650,0.6700,04 Oct 2019,-,-,-,10,7.24,10,10,0.00,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.5000,CALL,0.3400,0.6625,0.3300,0.6050,04 Oct 2019,-,-,-,15483,10987.12,28261,12619,80.67,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.7500,PUT,0.1425,0.1700,0.0375,0.0475,04 Oct 2019,-,-,-,16153,11441.28,4510,-875,-16.25,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,70.0000,PUT,0.0100,0.0150,0.0025,0.0025,04 Oct 2019,-,-,-,188888,132242.25,84,39,86.67,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.2500,CALL,0.0425,0.1525,0.0400,0.0975,04 Oct 2019,-,-,-,19382,13826.54,4100,2588,171.16,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.5000,CALL,0.0250,0.0750,0.0200,0.0350,04 Oct 2019,-,-,-,13843,9903.39,19571,7850,66.97,-,-,-,Y
OPTCUR,USDINR,04 Oct 2019,71.0000,PUT,0.3075,0.3200,0.1075,0.1225,04 Oct 2019,-,-,-,8643,6153.74,41384,1668,4.20,-,-,-,Y
