Market Summary Date,Session ID,Series ID,Series Code,Product Type,Product Code,Asset Code,Expiry Date,Strike Price,Option Type (Call/Put),Previous Close Price,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value (in Thousands)(absolute),Average Traded Price,No. of Trades,Filler1,Filler2,Open Interest,Underlying Asset Close Price
01 Oct 2019,0,820744,BSXOCT2019,IF,BSXFUT,BSX,31 Oct 2019,0.00,,38870.85,39042.15,39042.15,38219.80,38476.75,3600,139443.23,38734.2306,144,0,0,225,38305.41
01 Oct 2019,0,2045455,SBIL9OC280,SO,SBILOPT,SBIL,31 Oct 2019,280.00,CE,9.90,9.60,9.65,5.05,6.00,273000,78294.30,286.7923,63,0,0,0,255.95
01 Oct 2019,0,830907,AXIS9OC700,SO,AXISOPT,AXIS,31 Oct 2019,700.00,CE,22.80,24.15,24.65,16.35,21.00,48000,34574.34,720.2988,32,0,0,0,679.15
01 Oct 2019,0,831014,RELI9OC1340,SO,RELIOPT,RELI,31 Oct 2019,1340.00,CE,42.80,39.45,42.35,31.15,32.40,18000,24791.25,1377.2917,31,0,0,0,1304.90
01 Oct 2019,0,2045426,SBIL9OP280,SO,SBILOPT,SBIL,31 Oct 2019,280.00,PE,16.80,16.55,19.75,16.40,19.70,78000,23287.50,298.5577,26,0,0,0,255.95
01 Oct 2019,0,2044981,HDBK9OC1260,SO,HDBKOPT,HDBK,31 Oct 2019,1260.00,CE,29.35,30.05,37.70,29.50,29.50,13000,16832.15,1294.7808,22,0,0,0,1248.80
01 Oct 2019,0,834134,AXIS9OP700,SO,AXISOPT,AXIS,31 Oct 2019,700.00,PE,32.00,30.55,31.35,29.35,31.20,21600,15791.04,731.0667,18,0,0,1200,679.15
01 Oct 2019,0,2044950,HDBK9OP1260,SO,HDBKOPT,HDBK,31 Oct 2019,1260.00,PE,51.70,49.25,49.25,39.40,39.40,11000,14304.58,1300.4159,22,0,0,0,1248.80
01 Oct 2019,0,828896,ICICOCT2019,SF,ICICFUT,ICIC,31 Oct 2019,0.00,,437.15,430.30,430.30,423.60,424.75,5500,2344.86,426.3375,4,0,0,1375,424.60
01 Oct 2019,0,831997,BPCLOCT2019,SF,BPCLFUT,BPCL,31 Oct 2019,0.00,,473.95,493.70,502.35,493.70,502.35,3600,1792.89,498.0250,2,0,0,0,493.90
01 Oct 2019,0,832738,AXISOCT2019,SF,AXISFUT,AXIS,31 Oct 2019,0.00,,690.40,666.10,675.40,666.10,675.40,2400,1609.80,670.7500,2,0,0,4800,679.15
01 Oct 2019,0,827551,RELI9OP1340,SO,RELIOPT,RELI,31 Oct 2019,1340.00,PE,45.05,47.45,47.45,45.15,45.15,1000,1386.30,1386.3000,2,0,0,0,1304.90
01 Oct 2019,0,825789,HDBKOCT2019,SF,HDBKFUT,HDBK,31 Oct 2019,0.00,,1237.45,1239.15,1239.15,1239.15,1239.15,1000,1239.15,1239.1500,2,0,0,0,1248.80
01 Oct 2019,0,826119,BAFLOCT2019,SF,BAFLFUT,BAFL,31 Oct 2019,0.00,,4076.25,4096.90,4096.90,4096.90,4096.90,250,1024.23,4096.9000,1,0,0,250,3992.40
01 Oct 2019,0,829421,HDFCOCT2019,SF,HDFCFUT,HDFC,31 Oct 2019,0.00,,1993.80,1999.30,1999.30,1999.30,1999.30,500,999.65,1999.3000,1,0,0,2500,1995.65
01 Oct 2019,0,830780,BAJTOCT2019,SF,BAJTFUT,BAJT,31 Oct 2019,0.00,,2959.80,2956.50,2956.50,2956.50,2956.50,250,739.13,2956.5000,1,0,0,250,2910.00
01 Oct 2019,0,824281,RELIOCT2019,SF,RELIFUT,RELI,31 Oct 2019,0.00,,1338.05,1323.50,1323.50,1323.50,1323.50,500,661.75,1323.5000,1,0,0,500,1304.90
01 Oct 2019,0,830605,KOTBOCT2019,SF,KOTBFUT,KOTB,31 Oct 2019,0.00,,1656.10,1635.85,1635.85,1635.85,1635.85,400,654.34,1635.8500,1,0,0,400,1648.20
01 Oct 2019,0,821176,MNMLOCT2019,SF,MNMLFUT,MNML,31 Oct 2019,0.00,,551.60,550.20,550.20,550.20,550.20,1000,550.20,550.2000,1,0,0,2000,556.70
