SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN_INT,HIGH_INT,LOW_INT,CLOSE_INT,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TRADE_DATE
324474,INFY07NOV19-MNF,MNF,,0.65,2.50,0.65,2.50,2,109000,87500.00,20191001
325116,RAMCOCEM07NOV19-MNF,MNF,,5.00,5.00,5.00,5.00,8,100000,500000.00,20191001
325065,PEL07NOV19-MNF,MNF,,20.00,33.00,20.00,33.00,2,5125,104125.00,20191001
324483,KOTAKBANK07NOV19-MNF,MNF,,0.50,0.50,0.50,0.50,1,40000,20000.00,20191001
324618,IOC07NOV19-MNF,MNF,,0.30,0.40,0.30,0.40,7,1800000,610000.00,20191001
324999,IDFCFIRSTB07NOV19-MNF,MNF,,2.05,3.50,2.05,3.00,34,338638,797804.50,20191001
326223,BHARATFORG05DEC19-MNF,MNF,,2.50,2.50,2.50,2.50,1,16800,42000.00,20191001
326784,ICICIPRULI05DEC19-MNF,MNF,,2.50,2.50,2.50,2.50,5,1500,3750.00,20191001
326733,PEL05DEC19-MNF,MNF,,9.50,9.50,9.50,9.50,1,906,8607.00,20191001
326085,IDFCFIRSTB05DEC19-MNF,MNF,,0.24,0.24,0.24,0.24,8,9764,2343.36,20191001
