Contract Type,Symbol,Expiry,Strike,Option Type,Open,High,Low,Close,L T Date,Wt. Avg. Price,Prem/Disc,Prem/Disc(%),Contracts Traded,Turnover(Rs Lakhs),Open Interest,Change in OI,% Change in OI,Cost of Carry % p.a.,Margin %,Margin Value,Is Traded
IF,BSXOCT2019,31 Oct 2019,0.00,,39042.15,39042.15,38219.80,38476.75,01 Oct 2019,38734.2306,-,-,144,1394.43,225,-375,-62.50,-,-,-,Y
EO,SBIL9OC280,31 Oct 2019,280.00,CALL,9.60,9.65,5.05,6.00,01 Oct 2019,286.7923,-,-,91,782.94,0,0,0.00,-,-,-,Y
EO,AXIS9OC700,31 Oct 2019,700.00,CALL,24.15,24.65,16.35,21.00,01 Oct 2019,720.2988,-,-,40,345.74,0,0,0.00,-,-,-,Y
EO,RELI9OC1340,31 Oct 2019,1340.00,CALL,39.45,42.35,31.15,32.40,01 Oct 2019,1377.2917,-,-,36,247.91,0,0,0.00,-,-,-,Y
EO,SBIL9OP280,31 Oct 2019,280.00,PUT,16.55,19.75,16.40,19.70,01 Oct 2019,298.5577,-,-,26,232.88,0,0,0.00,-,-,-,Y
EO,HDBK9OC1260,31 Oct 2019,1260.00,CALL,30.05,37.70,29.50,29.50,01 Oct 2019,1294.7808,-,-,26,168.32,0,0,0.00,-,-,-,Y
EO,AXIS9OP700,31 Oct 2019,700.00,PUT,30.55,31.35,29.35,31.20,01 Oct 2019,731.0667,-,-,18,157.91,1200,0,0.00,-,-,-,Y
EO,HDBK9OP1260,31 Oct 2019,1260.00,PUT,49.25,49.25,39.40,39.40,01 Oct 2019,1300.4159,-,-,22,143.05,0,0,0.00,-,-,-,Y
EF,ICICOCT2019,31 Oct 2019,0.00,,430.30,430.30,423.60,424.75,01 Oct 2019,426.3375,-,-,4,23.45,1375,0,0.00,-,-,-,Y
EF,BPCLOCT2019,31 Oct 2019,0.00,,493.70,502.35,493.70,502.35,01 Oct 2019,498.0250,-,-,2,17.93,0,0,0.00,-,-,-,Y
EF,AXISOCT2019,31 Oct 2019,0.00,,666.10,675.40,666.10,675.40,01 Oct 2019,670.7500,-,-,2,16.10,4800,0,0.00,-,-,-,Y
EO,RELI9OP1340,31 Oct 2019,1340.00,PUT,47.45,47.45,45.15,45.15,01 Oct 2019,1386.3000,-,-,2,13.86,0,0,0.00,-,-,-,Y
EF,HDBKOCT2019,31 Oct 2019,0.00,,1239.15,1239.15,1239.15,1239.15,01 Oct 2019,1239.1500,-,-,2,12.39,0,0,0.00,-,-,-,Y
EF,BAFLOCT2019,31 Oct 2019,0.00,,4096.90,4096.90,4096.90,4096.90,01 Oct 2019,4096.9000,-,-,1,10.24,250,250,100.00,-,-,-,Y
EF,HDFCOCT2019,31 Oct 2019,0.00,,1999.30,1999.30,1999.30,1999.30,01 Oct 2019,1999.3000,-,-,1,10.00,2500,500,25.00,-,-,-,Y
