Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
936508,0ICFL24     ,732.50,732.50,732.50,732.50,5.00,1,3662.00,INE614X07092,1000.00,,
936816,0IIFL20     ,950.00,960.00,950.00,953.00,105.00,3,100148.00,INE866I07CJ3,1000.00,,
936698,0JMFPL21AA  ,941.05,959.00,812.40,952.88,50.00,4,45161.00,INE523H07AH0,1000.00,,
936764,0KFL20AA    ,949.00,965.00,949.00,965.00,7.00,4,6686.00,INE403Q07AK0,1000.00,,
935114,0MFL20L     ,1645.00,1795.00,1645.00,1795.00,10.00,2,17200.00,INE414G08256,1000.00,,
936150,0MFL21A     ,1055.00,1055.00,1050.00,1051.25,20.00,4,21025.00,INE414G07CQ1,1000.00,,
936546,0MFL21B     ,1008.00,1010.00,1008.00,1010.00,400.00,2,403800.00,INE414G07CY5,1000.00,,
936488,0MFL22      ,1001.00,1001.00,1000.00,1000.00,90.00,4,90030.00,INE522D07AY6,1000.00,,
936492,0MFL26      ,942.00,942.00,942.00,942.00,21.00,3,19782.00,INE522D07BA4,1000.00,,
936886,0SCUF24A    ,922.40,922.40,922.40,922.40,12.00,1,11068.00,INE722A07AD2,1000.00,,25/09/2024
936054,0SEFL22     ,949.00,949.00,800.00,800.00,230.00,2,213800.00,INE881J08599,1000.00,,
935944,0SEFL22B    ,848.00,848.00,848.00,848.00,1.00,1,848.00,INE881J07EP3,1000.00,,
936694,0SFL24      ,450.00,450.00,450.00,450.00,10.00,1,4500.00,INE302E08043,1000.00,,
935900,0SIFL21     ,900.00,994.96,900.00,956.65,6.00,4,5569.00,INE872A07UC5,1000.00,,
936240,0STFCL23    ,1030.00,1030.00,1030.00,1030.00,50.00,1,51500.00,INE721A07NZ0,1000.00,,
936704,1004JMFPL24 ,985.00,985.00,985.00,985.00,80.00,7,78800.00,INE523H07AK4,1000.00,10.04                    ,
936662,1005SIFL22  ,860.00,860.00,860.00,860.00,6.00,1,5160.00,INE872A07UY9,1000.00,10.05                    ,
935132,1015STFC21  ,1030.00,1030.00,1030.00,1030.00,160.00,5,164800.00,INE721A07HJ6,1000.00,10.15                    ,
957810,1015UPPCL28 ,960000.00,960000.00,960000.00,960000.00,1.00,1,960000.00,INE540P07350,1000000.00,10.15                    ,
936474,1020IIFL24  ,910.00,910.00,900.00,900.00,35.00,2,31650.00,INE866I07CF1,1000.00,10.20                    ,
936424,1025SEFL22  ,850.00,850.00,835.00,835.00,35.00,3,29525.00,INE881J07FP0,1000.00,10.25                    ,
935453,1025SEFL22I ,802.00,802.00,801.00,801.00,60.00,2,48070.00,INE881J07DX9,1000.00,10.25                    ,
935461,1025SREI20  ,901.95,901.95,850.00,850.00,10.00,3,8759.00,INE872A07TT1,1000.00,10.25                    ,
