Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
724LHFL21,,7.2400,23/08/2021,100.0000,99.9800,7.2500,21500.00,INE115A07OK5,1000000.00
800GAL20A52,,8.0000,28/12/2020,99.8425,99.8400,13.5600,14300.00,INE903F08052,10000000.00
827NHA29,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.2700,28/03/2029,103.0900,103.0100,7.7900,13000.00,INE906B07GP0,1000000.00
805HDFCL22,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,8.0500,20/06/2022,101.3500,101.3500,7.4500,10000.00,INE001A07RU9,1000000.00
851HDFCL20,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,8.5100,15/07/2020,101.0800,101.0800,6.9000,10000.00,INE001A07RR5,1000000.00
787HDFC22,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,7.8700,18/07/2022,101.1600,100.9700,7.4500,8000.00,INE001A07RW5,1000000.00
856SFL20,SUNDARAM FINANCE LIMITED,8.5571,28/01/2020,100.6200,100.6200,6.2500,7500.00,INE660A07PP6,1000000.00
818NABARD28,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,8.1800,26/12/2028,104.2100,104.1900,7.6800,6600.00,INE261F08AX6,1000000.00
760HDFC20,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,7.6000,26/06/2020,100.4500,100.4500,6.8000,5000.00,INE001A07QP1,10000000.00
717RIL22,RELIANCE INDUSTRIES LIMITED,7.1700,08/11/2022,99.5000,99.5000,7.3400,5000.00,INE002A08500,1000000.00
836PFC2020,POWER FINANCE CORPORATION LIMITED,8.3600,26/02/2020,100.7700,100.7700,6.1000,5000.00,INE134E08GX5,1000000.00
785NABARD22,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,7.8500,23/05/2022,101.8200,101.8200,7.0400,5000.00,INE261F08BJ3,1000000.00
830NTPC29,NTPC LIMITED,8.3000,15/01/2029,104.7700,104.7700,7.5500,5000.00,INE733E07KJ7,1000000.00
858HDFCL22,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,8.5800,18/03/2022,102.6600,102.5700,7.3600,5000.00,INE001A07RS3,1000000.00
770NHA29,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.7000,13/09/2029,99.5400,99.5400,7.7600,5000.00,INE906B07HH5,1000000.00
860RECL08MAR29,REC LIMITED,8.6000,08/03/2029,106.7600,106.7600,7.7200,4500.00,INE020B08BL8,1000000.00
150HDFCL27,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,1.5000,13/04/2027,101.8500,101.8500,7.4700,4000.00,INE001A07QH8,10000000.00
8HDBFS22,HDB FINANCIAL SERVICES LIMITED,8.0000,25/08/2022,100.9800,100.9600,7.6000,3500.00,INE756I07CS7,1000000.00
00SEREPL27,SEI ENERSTAR RENEWABLE ENERGY PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE257U07013,100000.00
00ZEPL27,ZUVAN ENERGY PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE259U07019,100000.00
00ASPPL27,AARISH SOLAR POWER PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE269U07018,100000.00
00DPPL27,DIVYESH POWER PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE327U07014,100000.00
00SBPPL27,SEI BASKARA POWER PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE328U07012,100000.00
00SREPL27,SHREYAS RENEWABLE ENERGY PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE336U07015,100000.00
00AEPL27,AASHMAN ENERGY PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE347U07012,100000.00
00SMEPL27,SEI MIHIR ENERGY PRIVATE LIMITED,0.0000,13/11/2027,93.0100,93.0100,10.0100,3431.00,INE387U07018,100000.00
875EREPL27,ELENA RENEWABLE ENERGY PRIVATE LIMITED,8.7500,16/11/2027,90.2200,90.2200,10.0100,3328.07,INE258U07011,97000.00
774LICHF20,LIC HOUSING FINANCE LIMITED,7.7400,05/06/2020,100.3700,100.3700,7.0700,2500.00,INE115A07LR6,1000000.00
867LICHFL20,LIC HOUSING FINANCE LIMITED,8.6700,26/08/2020,101.2700,101.2700,7.1200,2500.00,INE115A07HS2,1000000.00
718NABARD22,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,7.1800,08/08/2022,100.3000,100.3000,7.0400,2500.00,INE261F08BN5,1000000.00
871HFSL21A,HDB FINANCIAL SERVICES LIMITED,8.7100,17/05/2021,101.9700,101.9700,7.3200,2500.00,INE756I07CQ1,1000000.00
677LATL20,LARSEN AND TOUBRO LIMITED,6.7700,20/08/2020,100.1600,100.1600,6.5000,2500.00,INE018A08AT9,1000000.00
802BPCL24,BHARAT PETROLEUM CORPORATION LTD.,8.0200,11/03/2024,103.1600,103.1600,7.1400,2500.00,INE029A08057,1000000.00
837HAUDCL29,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,8.3700,25/03/2029,105.8500,105.8500,7.6300,2500.00,INE031A08707,1000000.00
870HDFCDEC20,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,8.7000,15/12/2020,101.8400,101.8400,7.0000,2500.00,INE001A07RN4,1000000.00
775LICHF24,LIC HOUSING FINANCE LIMITED,7.7500,23/07/2024,100.0400,100.0400,7.7400,2500.00,INE115A07OL3,1000000.00
769NABARD24,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,7.6900,29/05/2024,101.4400,101.4400,7.2900,2000.00,INE261F08BK1,1000000.00
836NHAOI29,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.3600,20/05/2029,103.4500,103.4500,7.8200,2000.00,INE906B07HD4,1000000.00
1050ACIL19A64,ALTICO CAPITAL INDIA LIMITED,10.5000,07/10/2019,77.4110,77.4100,99.0000,2000.00,INE587O07164,1000000.00
ADITYABFL10MR21,ADITYA BIRLA FINANCE LIMITED,0.0000,10/03/2021,107.5200,107.4400,7.6100,1600.00,INE860H07GP6,1000000.00
808KMPL22,KOTAK MAHINDRA PRIME LIMITED,8.0818,28/12/2022,101.4700,101.4700,7.5500,1500.00,INE916DA7QF9,1000000.00
754IRFCL34,INDIAN RAILWAY FINANCE CORPORATION LIMITED,7.5400,29/07/2034,98.6900,98.6900,7.6900,1500.00,INE053F07BT5,1000000.00
7HPCL24,HINDUSTAN PETROLEUM CORPORATION LIMITED,7.0000,14/08/2024,99.6200,99.6200,7.0800,1500.00,INE094A08036,1000000.00
724RECL21,RURAL ELECTRIFICATION CORPORATION LIMITED,7.2400,21/10/2021,99.7700,99.7600,7.3500,1500.00,INE020B08997,1000000.00
832RJIO21,RELIANCE JIO INFOCOMM LIMITED,8.3200,08/07/2021,100.6000,100.6000,7.9000,1500.00,INE110L07070,1000000.00
0IIFL19F,IIFL WEALTH FINANCE LIMITED,50.0000,21/10/2019,149.1800,149.1800,10.5000,1350.00,INE248U07061,100000.00
RFL25JUL18,RELIANCE FINANCIAL LIMITED,0.0000,25/10/2019,108.4500,108.4500,0.0000,1108.00,INE504L07BJ6,100000.00
885CIAFCL20,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,8.8500,10/02/2020,100.4900,100.4900,7.3800,1000.00,INE121A07OO5,1000000.00
956SBI23PERP,STATE BANK OF INDIA,9.5600,31/12/9999,103.1700,103.1700,8.6000,1000.00,INE062A08173,1000000.00
820NABARD2020,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,8.2000,13/03/2020,100.7800,100.7800,6.1000,1000.00,INE261F08485,1000000.00
1150HDFC2020,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,11.5000,22/06/2020,102.9300,102.9300,7.0000,1000.00,INE001A07QL0,10000000.00
750IRFC29,INDIAN RAILWAY FINANCE CORPORATION LIMITED,7.5000,09/09/2029,99.0900,99.0900,7.6400,1000.00,INE053F07BW9,1000000.00
950TRUSTCS22,TRUST CAPITAL SERVICES (INDIA) PRIVATE LIMITED                ,9.5000,29/07/2022,100.0500,100.0500,9.4500,1000.00,INE05TX07033,1000000.00
830RL29,REC LIMITED,8.3000,25/06/2029,99.6800,99.6800,8.3300,1000.00,INE020B08BU9,1000000.00
875SBIPERP,STATE BANK OF INDIA,8.7500,30/08/2024,101.5000,100.4800,8.6100,850.00,INE062A08215,1000000.00
1050INDUSINDPER,INDUSIND BANK LIMITED,10.5000,31/12/9999,99.5900,98.4500,10.9100,660.00,INE095A08082,1000000.00
862HCFSPL24,,8.6200,17/06/2024,100.2700,100.2700,8.5200,500.00,INE539K07114,1000000.00
699SIDBI22,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,6.9900,08/08/2022,100.1800,100.1800,6.9000,500.00,INE556F08JN1,1000000.00
