SN,Name,Field,Padma,State/Country
1,Shri George Fernandes,Public Affairs,Vibhushan,Bihar INDIA
2,Shri Arun Jaitley,Public Affairs,Vibhushan,Delhi INDIA
3,Sir Anerood Jugnauth GCSK,Public Affairs,Vibhushan,Mauritius
4,Smt. M. C. Mary Kom,Sports,Vibhushan,Manipur INDIA
5,Shri Chhannulal Mishra, Art, Vibhushan,Uttar Pradesh INDA
6,Smt. Sushma Swaraj,Public Affairs, Vibhushan,  Delhi INDIA
7,Sri Vishveshateertha Swamiji Sri,Others-Spiritualism,Vibhushan, Karnataka INDIA
8,Shri M. Mumtaz Ali (Sri M),Others-Spiritualism,Bhushan,Kerala INDIA
9,Shri Syed Muazzem Ali, Public Affairs,Bhushan,Bangladesh
10,Shri Muzaffar Hussain Baig, Public Affairs, Bhushan, Jammu and Kashmir INDIA
11,Shri Ajoy Chakravorty,Art,Bhushan,West Bengal INDIA
12,Shri Manoj Das, Literature and Education, Bhushan, Puducherry INDIA
13,Shri Balkrishna Doshi,Others-Architecture, Bhushan, Gujarat INDIA
14,Ms. Krishnammal Jagannathan, Social Work, Bhushan, Tamil Nadu INDIA
15,Shri S. C. Jamir, Public Affairs, Bhushan, Nagaland INDIA
16,Shri Anil Prakash Joshi,Social Work,Bhushan, Uttarakhand INDIA
17,Dr. Tsering Landol,Medicine, Bhushan,Ladakh INDIA
18,Shri Anand Mahindra,Trade and Industry, Bhushan,Maharashtra INDIA
19,Shri Neelakanta Ramakrishna,Public Affairs, Bhushan, Kerala INDIA 
20, Shri Manohar Gopalkrishna Prabhu Parrikar,Public Affairs, Bhushan, Goa INDIA
21, Prof. Jagdish Sheth, Literature and Education, Bhushan, USA
22, Ms. P. V. Sindhu,Sports, Bhushan, Telangana INDIA
23, Shri Venu Srinivasan, Trade and Industry, Bhushan, Tamil Nadu INDIA 
24, Guru Shashadhar Acharya, Art, Shri, Jharkhand INDIA
25, Dr. Yogi Aeron, Medicine, Shri, Uttarakhand INDIA
26, Shri Jai Prakash Agarwal, Trade and Industry, Shri, Delhi INDIA
27, Shri Jagdish Lal Ahuja, Social Work, Shri, Punjab INDIA
28, Kazi Masum Akhtar, Literature and Education, Shri, West Bengal Shri 
29, Ms. Gloria Arieira, Literature and Education, Shri,  Brazil
30, Khan Zaheerkhan Bakhtiyarkhan, Sports, Shri, Maharashtra
31, Dr. Padmavathy Bandopadhyay, Medicine, Shri, Uttar Pradesh INDIA
32, Dr. Sushovan Banerjee, Medicine, Shri,  West Bengal
33, Dr. Digambar Behera, Medicine, Shri,  Chandigarh INDIA
34, Dr. Damayanti Beshra, Literature and Education, Shri, Odisha INDIA
35, Shri Pawar Popatrao Bhaguji, Social Work, Shri, Maharashtra INDIA
36, Shri Himmata Ram Bhambhu, Social Work, Shri,  Rajasthan INDIA
37, Shri Sanjeev Bikhchandani, Trade and Industry, Shri,  Uttar Pradesh INDIA 
